base_variant,guardrail,variant,entry_date,entry_price,entry_origin,exit_date,exit_price,exit_origin,status,net_return,max_drawdown,days
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2020-05-28,220.44,standard,2020-09-03,382.87,trail8_exit,closed,0.7312910367773542,-0.19492398595369764,98
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2020-10-09,365.36,standard,2020-12-23,585.11,trail8_exit,closed,0.5963409948587692,-0.14803203886682192,75
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2020-12-27,684.12,standard,2021-02-22,1778.66,trail8_exit,closed,1.5916108889808807,-0.19337923421067937,57
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2021-03-29,1815.73,standard,2021-05-16,3585.62,trail8_exit,closed,0.9684397984211306,-0.1421469175263652,48
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2021-07-26,2228.26,standard,2021-09-08,3500.34,trail8_exit,closed,0.5658620954782654,-0.13036129518720097,44
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2021-10-06,3575.85,standard,2021-11-16,4209.5,trail8_exit,closed,0.1734385883971643,-0.12518963403229488,41
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2021-11-23,4341.62,standard,2021-11-26,4043.67,sma50_exit,closed,-0.07160446842533441,-0.10654305139122422,3
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2021-11-29,4449.42,standard,2021-12-03,4216.93,sma50_exit,closed,-0.05528212231239127,-0.09018867517448936,4
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2023-01-06,1268.84,breakout_entry,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2023-03-12,1592.31,standard,2023-04-21,1848.16,trail8_exit,closed,0.15696731119543283,-0.12825519912078376,40
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2023-05-05,1995.76,standard,2023-05-10,1842.47,sma50_exit,closed,-0.07975968416883794,-0.0768078326051228,5
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2023-05-29,1893.2,standard,2023-06-05,1811.21,sma50_exit,closed,-0.046366593757870334,-0.05043488290404263,7
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2023-06-20,1792.86,standard,2023-08-02,1838.92,trail8_exit,closed,0.022411210934038417,-0.08326727984246862,43
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2023-11-22,2063.94,standard,2024-01-23,2240.81,sma50_exit,closed,0.08222387495450434,-0.14417696911366495,62
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2024-02-06,2372.09,standard,2024-03-20,3516.68,trail8_exit,closed,0.47778356921567045,-0.22360871671654936,43
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2024-04-08,3694.56,standard,2024-04-12,3239.31,sma50_exit,closed,-0.12602515573340267,-0.12322170975704816,4
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2024-05-29,3762.11,standard,2024-06-11,3497.31,trail8_exit,closed,-0.07335841825103484,-0.09550066337865348,13
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2024-06-20,3510.73,standard,2024-06-24,3350.59,sma50_exit,closed,-0.04866603540847636,-0.0473673586016109,4
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2024-07-15,3485.87,standard,2024-07-24,3334.99,sma50_exit,closed,-0.04634235654961327,-0.05690006221367572,9
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2024-11-06,2724.27,breakout_entry,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2025-07-02,2571.13,standard,2025-08-19,4075.89,trail8_exit,closed,0.5801836493208818,-0.14218156103597634,48
current_rsi40_65_mom7_high5,gap__gm15p5,current_rsi40_65_mom7_high5__gap__gm15p5,2025-08-25,4377.02,standard,2025-09-22,4202.42,sma50_exit,closed,-0.04296004720216051,-0.10864834367695653,28
